date,product_category,beginning_inventory,received_inventory,sales_units,end_inventory,stockout_days,lead_time_days,unit_cost,carrying_cost_pct
2023-01-01,Electronics,520,150,175,495,0,14,85.50,0.25
2023-01-01,Apparel,780,200,235,745,0,10,32.75,0.20
2023-01-01,Home & Garden,450,100,120,430,0,12,45.25,0.22
2023-01-01,Beauty,380,80,95,365,0,8,28.50,0.18
2023-01-01,Furniture,180,40,35,185,0,21,150.25,0.30
2023-02-01,Electronics,495,180,210,465,1,14,85.50,0.25
2023-02-01,Apparel,745,220,260,705,0,10,32.75,0.20
2023-02-01,Home & Garden,430,90,115,405,0,12,45.25,0.22
2023-02-01,Beauty,365,100,120,345,0,8,28.50,0.18
2023-02-01,Furniture,185,30,40,175,0,21,150.25,0.30
2023-03-01,Electronics,465,200,235,430,2,15,85.50,0.25
2023-03-01,Apparel,705,250,285,670,0,11,32.75,0.20
2023-03-01,Home & Garden,405,120,145,380,0,12,45.25,0.22
2023-03-01,Beauty,345,110,130,325,0,9,28.50,0.18
2023-03-01,Furniture,175,50,45,180,0,20,150.25,0.30
2023-04-01,Electronics,430,220,255,395,3,15,85.50,0.25
2023-04-01,Apparel,670,240,270,640,0,11,32.75,0.20
2023-04-01,Home & Garden,380,150,175,355,1,13,45.25,0.22
2023-04-01,Beauty,325,120,140,305,0,9,28.50,0.18
2023-04-01,Furniture,180,40,50,170,0,21,150.25,0.30
2023-05-01,Electronics,395,250,275,370,4,16,85.50,0.25
2023-05-01,Apparel,640,230,265,605,0,11,32.75,0.20
2023-05-01,Home & Garden,355,180,200,335,2,13,45.25,0.22
2023-05-01,Beauty,305,130,150,285,1,9,28.50,0.18
2023-05-01,Furniture,170,60,55,175,0,22,150.25,0.30
2023-06-01,Electronics,370,280,300,350,5,16,85.50,0.25
2023-06-01,Apparel,605,210,245,570,0,12,32.75,0.20
2023-06-01,Home & Garden,335,200,225,310,3,14,45.25,0.22
2023-06-01,Beauty,285,140,155,270,1,10,28.50,0.18
2023-06-01,Furniture,175,50,60,165,0,22,150.25,0.30
2023-07-01,Electronics,350,310,325,335,6,17,85.50,0.25
2023-07-01,Apparel,570,190,220,540,0,12,32.75,0.20
2023-07-01,Home & Garden,310,210,230,290,3,14,45.25,0.22
2023-07-01,Beauty,270,150,165,255,2,10,28.50,0.18
2023-07-01,Furniture,165,70,65,170,0,23,150.25,0.30
2023-08-01,Electronics,335,330,335,330,5,17,85.50,0.25
2023-08-01,Apparel,540,180,205,515,0,12,32.75,0.20
2023-08-01,Home & Garden,290,190,210,270,2,14,45.25,0.22
2023-08-01,Beauty,255,130,140,245,1,10,28.50,0.18
2023-08-01,Furniture,170,60,70,160,0,23,150.25,0.30
2023-09-01,Electronics,330,350,360,320,7,17,85.50,0.25
2023-09-01,Apparel,515,230,245,500,0,12,32.75,0.20
2023-09-01,Home & Garden,270,170,185,255,1,14,45.25,0.22
2023-09-01,Beauty,245,120,130,235,0,10,28.50,0.18
2023-09-01,Furniture,160,80,75,165,0,22,150.25,0.30
2023-10-01,Electronics,320,370,385,305,8,18,85.50,0.25
2023-10-01,Apparel,500,280,300,480,0,13,32.75,0.20
2023-10-01,Home & Garden,255,150,160,245,0,15,45.25,0.22
2023-10-01,Beauty,235,140,150,225,0,11,28.50,0.18
2023-10-01,Furniture,165,70,80,155,0,22,150.25,0.30
2023-11-01,Electronics,305,400,420,285,9,18,85.50,0.25
2023-11-01,Apparel,480,350,380,450,1,13,32.75,0.20
2023-11-01,Home & Garden,245,130,140,235,0,15,45.25,0.22
2023-11-01,Beauty,225,180,195,210,1,11,28.50,0.18
2023-11-01,Furniture,155,90,95,150,0,23,150.25,0.30
2023-12-01,Electronics,285,450,490,245,10,19,85.50,0.25
2023-12-01,Apparel,450,380,415,415,2,14,32.75,0.20
2023-12-01,Home & Garden,235,120,130,225,0,15,45.25,0.22
2023-12-01,Beauty,210,200,220,190,2,11,28.50,0.18
2023-12-01,Furniture,150,100,105,145,0,24,150.25,0.30
